"as_of","location","date","target","origin_epiweek","observation"
"2020-09-20","hhs3",2019-05-25,"ili perc","2019-22",1.04391
"2020-09-20","hhs3",2019-06-01,"ili perc","2019-23",0.916497
"2020-09-20","hhs3",2019-06-08,"ili perc","2019-24",0.757823
"2020-09-20","hhs3",2019-06-15,"ili perc","2019-25",0.750334
"2020-09-20","hhs3",2019-06-22,"ili perc","2019-26",0.629509
"2020-09-20","hhs3",2019-06-29,"ili perc","2019-27",0.542949
"2020-09-20","hhs3",2019-07-06,"ili perc","2019-28",0.518661
"2020-09-20","hhs3",2019-07-13,"ili perc","2019-29",0.523784
"2020-09-20","hhs3",2019-07-20,"ili perc","2019-30",0.496675
"2020-09-20","hhs3",2019-07-27,"ili perc","2019-31",0.486716
"2020-09-20","hhs3",2019-08-03,"ili perc","2019-32",0.461385
"2020-09-20","hhs3",2019-08-10,"ili perc","2019-33",0.486512
"2020-09-20","hhs3",2019-08-17,"ili perc","2019-34",0.517061
"2020-09-20","hhs3",2019-08-24,"ili perc","2019-35",0.539185
"2020-09-20","hhs3",2019-08-31,"ili perc","2019-36",0.639543
"2020-09-20","hhs3",2019-09-07,"ili perc","2019-37",0.78208
"2020-09-20","hhs3",2019-09-14,"ili perc","2019-38",0.878713
"2020-09-20","hhs3",2019-09-21,"ili perc","2019-39",0.981034
"2021-09-26","hhs3",2019-09-28,"ili perc","2019-40",1.16365
"2021-09-26","hhs3",2019-10-05,"ili perc","2019-41",1.28536
"2021-09-26","hhs3",2019-10-12,"ili perc","2019-42",1.40386
"2021-09-26","hhs3",2019-10-19,"ili perc","2019-43",1.5576
"2021-09-26","hhs3",2019-10-26,"ili perc","2019-44",1.5272
"2021-09-26","hhs3",2019-11-02,"ili perc","2019-45",1.69368
"2021-09-26","hhs3",2019-11-09,"ili perc","2019-46",1.86702
"2021-09-26","hhs3",2019-11-16,"ili perc","2019-47",2.05799
"2021-09-26","hhs3",2019-11-23,"ili perc","2019-48",2.39073
"2021-09-26","hhs3",2019-11-30,"ili perc","2019-49",2.4231
"2021-09-26","hhs3",2019-12-07,"ili perc","2019-50",2.98098
"2021-09-26","hhs3",2019-12-14,"ili perc","2019-51",3.91613
"2021-09-26","hhs3",2019-12-21,"ili perc","2019-52",5.64113
"2021-09-26","hhs3",2019-12-28,"ili perc","2019-01",5.48181
"2021-09-26","hhs3",2020-01-04,"ili perc","2020-02",4.40187
"2021-09-26","hhs3",2020-01-11,"ili perc","2020-03",4.61257
"2021-09-26","hhs3",2020-01-18,"ili perc","2020-04",5.28306
"2021-09-26","hhs3",2020-01-25,"ili perc","2020-05",6.30302
"2021-09-26","hhs3",2020-02-01,"ili perc","2020-06",6.49099
"2021-09-26","hhs3",2020-02-08,"ili perc","2020-07",5.78865
"2021-09-26","hhs3",2020-02-15,"ili perc","2020-08",5.27725
"2021-09-26","hhs3",2020-02-22,"ili perc","2020-09",5.16024
"2017-10-01","hhs4",2015-10-17,"ili perc","2015-42",1.04879
"2017-10-01","hhs4",2015-10-24,"ili perc","2015-43",1.07812
"2017-10-01","hhs4",2015-10-31,"ili perc","2015-44",1.08835
"2017-10-01","hhs4",2015-11-07,"ili perc","2015-45",1.0871
"2017-10-01","hhs4",2015-11-14,"ili perc","2015-46",1.26322
"2017-10-01","hhs4",2015-11-21,"ili perc","2015-47",1.56158
"2017-10-01","hhs4",2015-11-28,"ili perc","2015-48",1.31254
"2017-10-01","hhs4",2015-12-05,"ili perc","2015-49",1.33302
"2017-10-01","hhs4",2015-12-12,"ili perc","2015-50",1.4868
"2017-10-01","hhs4",2015-12-19,"ili perc","2015-51",1.86992
"2017-10-01","hhs4",2015-12-26,"ili perc","2015-52",1.72166
"2017-10-01","hhs4",2016-01-02,"ili perc","2016-01",1.36654
"2017-10-01","hhs4",2016-01-09,"ili perc","2016-02",1.48204
"2017-10-01","hhs4",2016-01-16,"ili perc","2016-03",1.74907
"2017-10-01","hhs4",2016-01-23,"ili perc","2016-04",1.8905
"2017-10-01","hhs4",2016-01-30,"ili perc","2016-05",2.0207
"2017-10-01","hhs4",2016-02-06,"ili perc","2016-06",2.24789
"2017-10-01","hhs4",2016-02-13,"ili perc","2016-07",2.92328
"2017-10-01","hhs4",2016-02-20,"ili perc","2016-08",3.32059
"2017-10-01","hhs4",2016-02-27,"ili perc","2016-09",3.2935
"2017-10-01","hhs4",2016-03-05,"ili perc","2016-10",3.63006
"2017-10-01","hhs4",2016-03-12,"ili perc","2016-11",2.85287
"2017-10-01","hhs4",2016-03-19,"ili perc","2016-12",2.76107
"2017-10-01","hhs4",2016-03-26,"ili perc","2016-13",2.65159
"2017-10-01","hhs4",2016-04-02,"ili perc","2016-14",2.13917
"2017-10-01","hhs4",2016-04-09,"ili perc","2016-15",2.03332
"2017-10-01","hhs4",2016-04-16,"ili perc","2016-16",1.99591
"2017-10-01","hhs4",2016-04-23,"ili perc","2016-17",1.76476
"2017-10-01","hhs4",2016-04-30,"ili perc","2016-18",1.67187
"2017-10-01","hhs4",2016-05-07,"ili perc","2016-19",1.47025
"2017-10-01","hhs4",2016-05-14,"ili perc","2016-20",1.21156
"2017-10-01","hhs4",2016-05-21,"ili perc","2016-21",1.06968
"2017-10-01","hhs4",2016-05-28,"ili perc","2016-22",1.0761
"2017-10-01","hhs4",2016-06-04,"ili perc","2016-23",0.958225
"2017-10-01","hhs4",2016-06-11,"ili perc","2016-24",0.995012
"2017-10-01","hhs4",2016-06-18,"ili perc","2016-25",0.844627
"2017-10-01","hhs4",2016-06-25,"ili perc","2016-26",0.713695
"2017-10-01","hhs4",2016-07-02,"ili perc","2016-27",0.675263
"2017-10-01","hhs4",2016-07-09,"ili perc","2016-28",0.65847
"2017-10-01","hhs4",2016-07-16,"ili perc","2016-29",0.637795
"2017-10-01","hhs4",2016-07-23,"ili perc","2016-30",0.653224
"2017-10-01","hhs4",2016-07-30,"ili perc","2016-31",0.615225
"2017-10-01","hhs4",2016-08-06,"ili perc","2016-32",0.851918
"2017-10-01","hhs4",2016-08-13,"ili perc","2016-33",0.859982
"2017-10-01","hhs4",2016-08-20,"ili perc","2016-34",0.992024
"2017-10-01","hhs4",2016-08-27,"ili perc","2016-35",1.01695
"2017-10-01","hhs4",2016-09-03,"ili perc","2016-36",0.900288
"2017-10-01","hhs4",2016-09-10,"ili perc","2016-37",1.07002
"2017-10-01","hhs4",2016-09-17,"ili perc","2016-38",1.1253
"2017-10-01","hhs4",2016-09-24,"ili perc","2016-39",1.31649
"2018-09-23","hhs4",2016-10-01,"ili perc","2016-40",1.17386
"2018-09-23","hhs4",2016-10-08,"ili perc","2016-41",1.23174
"2018-09-23","hhs4",2016-10-15,"ili perc","2016-42",1.2768
"2018-09-23","hhs4",2016-10-22,"ili perc","2016-43",1.38032
"2018-09-23","hhs4",2016-10-29,"ili perc","2016-44",1.64361
"2018-09-23","hhs4",2016-11-05,"ili perc","2016-45",1.67847
"2018-09-23","hhs4",2016-11-12,"ili perc","2016-46",1.9058
"2018-09-23","hhs4",2016-11-19,"ili perc","2016-47",2.19048
"2018-09-23","hhs4",2016-11-26,"ili perc","2016-48",1.92682
"2018-09-23","hhs4",2016-12-03,"ili perc","2016-49",1.82204
"2018-09-23","hhs4",2016-12-10,"ili perc","2016-50",2.27691
"2018-09-23","hhs4",2016-12-17,"ili perc","2016-51",2.93491
"2018-09-23","hhs4",2016-12-24,"ili perc","2016-52",3.37282
"2018-09-23","hhs4",2016-12-31,"ili perc","2017-01",2.91179
"2018-09-23","hhs4",2017-01-07,"ili perc","2017-02",2.89395
"2018-09-23","hhs4",2017-01-14,"ili perc","2017-03",3.68564
"2018-09-23","hhs4",2017-01-21,"ili perc","2017-04",3.69188
"2018-09-23","hhs4",2017-01-28,"ili perc","2017-05",4.53169
"2018-09-23","hhs4",2017-02-04,"ili perc","2017-06",5.11778
"2018-09-23","hhs4",2017-02-11,"ili perc","2017-07",5.5107
"2018-09-23","hhs4",2017-02-18,"ili perc","2017-08",5.48046
"2018-09-23","hhs4",2017-02-25,"ili perc","2017-09",4.52709
"2018-09-23","hhs4",2017-03-04,"ili perc","2017-10",4.53598
"2018-09-23","hhs4",2017-03-11,"ili perc","2017-11",3.878
"2018-09-23","hhs4",2017-03-18,"ili perc","2017-12",4.67964
"2018-09-23","hhs4",2017-03-25,"ili perc","2017-13",3.6751
"2018-09-23","hhs4",2017-04-01,"ili perc","2017-14",2.74066
"2018-09-23","hhs4",2017-04-08,"ili perc","2017-15",2.17782
"2018-09-23","hhs4",2017-04-15,"ili perc","2017-16",1.79914
"2018-09-23","hhs4",2017-04-22,"ili perc","2017-17",1.49321
"2018-09-23","hhs4",2017-04-29,"ili perc","2017-18",1.24508
"2018-09-23","hhs4",2017-05-06,"ili perc","2017-19",1.39615
"2018-09-23","hhs4",2017-05-13,"ili perc","2017-20",1.27115
"2018-09-23","hhs4",2017-05-20,"ili perc","2017-21",1.19756
"2018-09-23","hhs4",2017-05-27,"ili perc","2017-22",0.968787
"2018-09-23","hhs4",2017-06-03,"ili perc","2017-23",0.878384
"2018-09-23","hhs4",2017-06-10,"ili perc","2017-24",0.721797
"2018-09-23","hhs4",2017-06-17,"ili perc","2017-25",0.644565
"2018-09-23","hhs4",2017-06-24,"ili perc","2017-26",0.603647
"2018-09-23","hhs4",2017-07-01,"ili perc","2017-27",0.637539
"2018-09-23","hhs4",2017-07-08,"ili perc","2017-28",0.593663
"2018-09-23","hhs4",2017-07-15,"ili perc","2017-29",0.489899
"2018-09-23","hhs4",2017-07-22,"ili perc","2017-30",0.535532
"2018-09-23","hhs4",2017-07-29,"ili perc","2017-31",0.476357
"2018-09-23","hhs4",2017-08-05,"ili perc","2017-32",0.483647
"2018-09-23","hhs4",2017-08-12,"ili perc","2017-33",0.674289
"2018-09-23","hhs4",2017-08-19,"ili perc","2017-34",0.782429
"2018-09-23","hhs4",2017-08-26,"ili perc","2017-35",1.11294
"2018-09-23","hhs4",2017-09-02,"ili perc","2017-36",1.17542
"2018-09-23","hhs4",2017-09-09,"ili perc","2017-37",0.937823
"2018-09-23","hhs4",2017-09-16,"ili perc","2017-38",0.902408
"2018-09-23","hhs4",2017-09-23,"ili perc","2017-39",1.02557
"2019-09-22","hhs4",2017-09-30,"ili perc","2017-40",1.15704
"2019-09-22","hhs4",2017-10-07,"ili perc","2017-41",1.2559
"2019-09-22","hhs4",2017-10-14,"ili perc","2017-42",1.25906
"2019-09-22","hhs4",2017-10-21,"ili perc","2017-43",1.59472
"2019-09-22","hhs4",2017-10-28,"ili perc","2017-44",1.78955
"2019-09-22","hhs4",2017-11-04,"ili perc","2017-45",2.12802
"2019-09-22","hhs4",2017-11-11,"ili perc","2017-46",2.22418
"2019-09-22","hhs4",2017-11-18,"ili perc","2017-47",2.54255
"2019-09-22","hhs4",2017-11-25,"ili perc","2017-48",2.23681
"2019-09-22","hhs4",2017-12-02,"ili perc","2017-49",2.5325
"2019-09-22","hhs4",2017-12-09,"ili perc","2017-50",3.10558
"2019-09-22","hhs4",2017-12-16,"ili perc","2017-51",4.62754
"2019-09-22","hhs4",2017-12-23,"ili perc","2017-52",5.3309
"2019-09-22","hhs4",2017-12-30,"ili perc","2017-01",5.35557
"2019-09-22","hhs4",2018-01-06,"ili perc","2018-02",6.64069
"2019-09-22","hhs4",2018-01-13,"ili perc","2018-03",8.35345
"2019-09-22","hhs4",2018-01-20,"ili perc","2018-04",9.23174
"2019-09-22","hhs4",2018-01-27,"ili perc","2018-05",9.25521
"2019-09-22","hhs4",2018-02-03,"ili perc","2018-06",9.00779
"2019-09-22","hhs4",2018-02-10,"ili perc","2018-07",6.98828
"2019-09-22","hhs4",2018-02-17,"ili perc","2018-08",4.76595
"2019-09-22","hhs4",2018-02-24,"ili perc","2018-09",3.08799
"2019-09-22","hhs4",2018-03-03,"ili perc","2018-10",2.71229
"2019-09-22","hhs4",2018-03-10,"ili perc","2018-11",2.40824
"2019-09-22","hhs4",2018-03-17,"ili perc","2018-12",2.04185
"2019-09-22","hhs4",2018-03-24,"ili perc","2018-13",2.05329
"2019-09-22","hhs4",2018-03-31,"ili perc","2018-14",1.77067
"2019-09-22","hhs4",2018-04-07,"ili perc","2018-15",1.49163
"2019-09-22","hhs4",2018-04-14,"ili perc","2018-16",1.29232
"2019-09-22","hhs4",2018-04-21,"ili perc","2018-17",1.2095
"2019-09-22","hhs4",2018-04-28,"ili perc","2018-18",1.19057
"2019-09-22","hhs4",2018-05-05,"ili perc","2018-19",0.998856
"2019-09-22","hhs4",2018-05-12,"ili perc","2018-20",0.957264
"2019-09-22","hhs4",2018-05-19,"ili perc","2018-21",0.943487
"2019-09-22","hhs4",2018-05-26,"ili perc","2018-22",0.866142
"2019-09-22","hhs4",2018-06-02,"ili perc","2018-23",0.775926
"2019-09-22","hhs4",2018-06-09,"ili perc","2018-24",0.647844
"2019-09-22","hhs4",2018-06-16,"ili perc","2018-25",0.605189
"2019-09-22","hhs4",2018-06-23,"ili perc","2018-26",0.468432
"2019-09-22","hhs4",2018-06-30,"ili perc","2018-27",0.601611
"2019-09-22","hhs4",2018-07-07,"ili perc","2018-28",0.574884
"2019-09-22","hhs4",2018-07-14,"ili perc","2018-29",0.473682
"2019-09-22","hhs4",2018-07-21,"ili perc","2018-30",0.522749
"2019-09-22","hhs4",2018-07-28,"ili perc","2018-31",0.47859
"2019-09-22","hhs4",2018-08-04,"ili perc","2018-32",0.5025
"2019-09-22","hhs4",2018-08-11,"ili perc","2018-33",0.706872
"2019-09-22","hhs4",2018-08-18,"ili perc","2018-34",0.763744
"2019-09-22","hhs4",2018-08-25,"ili perc","2018-35",0.865641
"2019-09-22","hhs4",2018-09-01,"ili perc","2018-36",1.09321
"2019-09-22","hhs4",2018-09-08,"ili perc","2018-37",0.994241
"2019-09-22","hhs4",2018-09-15,"ili perc","2018-38",0.997486
"2019-09-22","hhs4",2018-09-22,"ili perc","2018-39",1.06629
"2020-09-20","hhs4",2018-09-29,"ili perc","2018-40",1.24084
"2020-09-20","hhs4",2018-10-06,"ili perc","2018-41",1.34703
"2020-09-20","hhs4",2018-10-13,"ili perc","2018-42",1.35855
"2020-09-20","hhs4",2018-10-20,"ili perc","2018-43",1.64623
"2020-09-20","hhs4",2018-10-27,"ili perc","2018-44",1.81154
"2020-09-20","hhs4",2018-11-03,"ili perc","2018-45",1.91672
"2020-09-20","hhs4",2018-11-10,"ili perc","2018-46",1.99692
"2020-09-20","hhs4",2018-11-17,"ili perc","2018-47",2.29561
"2020-09-20","hhs4",2018-11-24,"ili perc","2018-48",2.14917
"2020-09-20","hhs4",2018-12-01,"ili perc","2018-49",2.19446
"2020-09-20","hhs4",2018-12-08,"ili perc","2018-50",2.72594
"2020-09-20","hhs4",2018-12-15,"ili perc","2018-51",3.21808
"2020-09-20","hhs4",2018-12-22,"ili perc","2018-52",4.06279
"2020-09-20","hhs4",2018-12-29,"ili perc","2018-01",3.35579
"2020-09-20","hhs4",2019-01-05,"ili perc","2019-02",2.67241
"2020-09-20","hhs4",2019-01-12,"ili perc","2019-03",3.04234
"2020-09-20","hhs4",2019-01-19,"ili perc","2019-04",4.00237
"2020-09-20","hhs4",2019-01-26,"ili perc","2019-05",4.82199
"2020-09-20","hhs4",2019-02-02,"ili perc","2019-06",5.94921
"2020-09-20","hhs4",2019-02-09,"ili perc","2019-07",5.73582
"2020-09-20","hhs4",2019-02-16,"ili perc","2019-08",5.09036
"2020-09-20","hhs4",2019-02-23,"ili perc","2019-09",4.07313
"2020-09-20","hhs4",2019-03-02,"ili perc","2019-10",3.71192
"2020-09-20","hhs4",2019-03-09,"ili perc","2019-11",3.36203
"2020-09-20","hhs4",2019-03-16,"ili perc","2019-12",2.97592
"2020-09-20","hhs4",2019-03-23,"ili perc","2019-13",2.44418
"2020-09-20","hhs4",2019-03-30,"ili perc","2019-14",2.27651
"2020-09-20","hhs4",2019-04-06,"ili perc","2019-15",1.86745
"2020-09-20","hhs4",2019-04-13,"ili perc","2019-16",1.60937
"2020-09-20","hhs4",2019-04-20,"ili perc","2019-17",1.45855
"2020-09-20","hhs4",2019-04-27,"ili perc","2019-18",1.35239
"2020-09-20","hhs4",2019-05-04,"ili perc","2019-19",1.26419
"2020-09-20","hhs4",2019-05-11,"ili perc","2019-20",1.26802
"2020-09-20","hhs4",2019-05-18,"ili perc","2019-21",1.06614
"2020-09-20","hhs4",2019-05-25,"ili perc","2019-22",1.15371
"2020-09-20","hhs4",2019-06-01,"ili perc","2019-23",0.878735
"2020-09-20","hhs4",2019-06-08,"ili perc","2019-24",0.783638
"2020-09-20","hhs4",2019-06-15,"ili perc","2019-25",0.658507
"2020-09-20","hhs4",2019-06-22,"ili perc","2019-26",0.652394
"2020-09-20","hhs4",2019-06-29,"ili perc","2019-27",0.633585
"2020-09-20","hhs4",2019-07-06,"ili perc","2019-28",0.603001
"2020-09-20","hhs4",2019-07-13,"ili perc","2019-29",0.56145
"2020-09-20","hhs4",2019-07-20,"ili perc","2019-30",0.602296
"2020-09-20","hhs4",2019-07-27,"ili perc","2019-31",0.609666
"2020-09-20","hhs4",2019-08-03,"ili perc","2019-32",0.59727
"2020-09-20","hhs4",2019-08-10,"ili perc","2019-33",0.71023
"2020-09-20","hhs4",2019-08-17,"ili perc","2019-34",0.894721
"2020-09-20","hhs4",2019-08-24,"ili perc","2019-35",1.04236
"2020-09-20","hhs4",2019-08-31,"ili perc","2019-36",1.30448
"2020-09-20","hhs4",2019-09-07,"ili perc","2019-37",1.22631
"2020-09-20","hhs4",2019-09-14,"ili perc","2019-38",1.27698
"2020-09-20","hhs4",2019-09-21,"ili perc","2019-39",1.33699
"2021-09-26","hhs4",2019-09-28,"ili perc","2019-40",1.67601
"2021-09-26","hhs4",2019-10-05,"ili perc","2019-41",1.63027
"2021-09-26","hhs4",2019-10-12,"ili perc","2019-42",1.81806
"2021-09-26","hhs4",2019-10-19,"ili perc","2019-43",1.96609
"2021-09-26","hhs4",2019-10-26,"ili perc","2019-44",2.29988
"2021-09-26","hhs4",2019-11-02,"ili perc","2019-45",2.87142
"2021-09-26","hhs4",2019-11-09,"ili perc","2019-46",3.13118
"2021-09-26","hhs4",2019-11-16,"ili perc","2019-47",3.34192
"2021-09-26","hhs4",2019-11-23,"ili perc","2019-48",4.19914
"2021-09-26","hhs4",2019-11-30,"ili perc","2019-49",4.02323
"2021-09-26","hhs4",2019-12-07,"ili perc","2019-50",4.98403
"2021-09-26","hhs4",2019-12-14,"ili perc","2019-51",6.39636
"2021-09-26","hhs4",2019-12-21,"ili perc","2019-52",8.76758
"2021-09-26","hhs4",2019-12-28,"ili perc","2019-01",6.82022
"2021-09-26","hhs4",2020-01-04,"ili perc","2020-02",5.20089
"2021-09-26","hhs4",2020-01-11,"ili perc","2020-03",5.42013
"2021-09-26","hhs4",2020-01-18,"ili perc","2020-04",6.44947
"2021-09-26","hhs4",2020-01-25,"ili perc","2020-05",7.46101
"2021-09-26","hhs4",2020-02-01,"ili perc","2020-06",7.30036
"2021-09-26","hhs4",2020-02-08,"ili perc","2020-07",6.32193
"2021-09-26","hhs4",2020-02-15,"ili perc","2020-08",5.35342
"2021-09-26","hhs4",2020-02-22,"ili perc","2020-09",4.80979
"2017-10-01","hhs5",2015-10-17,"ili perc","2015-42",1.06713
"2017-10-01","hhs5",2015-10-24,"ili perc","2015-43",1.115
"2017-10-01","hhs5",2015-10-31,"ili perc","2015-44",1.21929
"2017-10-01","hhs5",2015-11-07,"ili perc","2015-45",1.30849
"2017-10-01","hhs5",2015-11-14,"ili perc","2015-46",1.24532
"2017-10-01","hhs5",2015-11-21,"ili perc","2015-47",1.43337
"2017-10-01","hhs5",2015-11-28,"ili perc","2015-48",1.14488
"2017-10-01","hhs5",2015-12-05,"ili perc","2015-49",1.38051
"2017-10-01","hhs5",2015-12-12,"ili perc","2015-50",1.44161
"2017-10-01","hhs5",2015-12-19,"ili perc","2015-51",1.8278
"2017-10-01","hhs5",2015-12-26,"ili perc","2015-52",1.73677
"2017-10-01","hhs5",2016-01-02,"ili perc","2016-01",1.40441
"2017-10-01","hhs5",2016-01-09,"ili perc","2016-02",1.36099
"2017-10-01","hhs5",2016-01-16,"ili perc","2016-03",1.43821
"2017-10-01","hhs5",2016-01-23,"ili perc","2016-04",1.45151
"2017-10-01","hhs5",2016-01-30,"ili perc","2016-05",1.57564
"2017-10-01","hhs5",2016-02-06,"ili perc","2016-06",1.82622
"2017-10-01","hhs5",2016-02-13,"ili perc","2016-07",2.38921
"2017-10-01","hhs5",2016-02-20,"ili perc","2016-08",2.69171
"2017-10-01","hhs5",2016-02-27,"ili perc","2016-09",2.9944
"2017-10-01","hhs5",2016-03-05,"ili perc","2016-10",3.41225
"2017-10-01","hhs5",2016-03-12,"ili perc","2016-11",2.60673
"2017-10-01","hhs5",2016-03-19,"ili perc","2016-12",2.31501
"2017-10-01","hhs5",2016-03-26,"ili perc","2016-13",2.00175
"2017-10-01","hhs5",2016-04-02,"ili perc","2016-14",1.59107
"2017-10-01","hhs5",2016-04-09,"ili perc","2016-15",1.45157
"2017-10-01","hhs5",2016-04-16,"ili perc","2016-16",1.46162
"2017-10-01","hhs5",2016-04-23,"ili perc","2016-17",1.34292
"2017-10-01","hhs5",2016-04-30,"ili perc","2016-18",1.03214
"2017-10-01","hhs5",2016-05-07,"ili perc","2016-19",1.11499
"2017-10-01","hhs5",2016-05-14,"ili perc","2016-20",1.04588
"2017-10-01","hhs5",2016-05-21,"ili perc","2016-21",0.803267
"2017-10-01","hhs5",2016-05-28,"ili perc","2016-22",0.912362
"2017-10-01","hhs5",2016-06-04,"ili perc","2016-23",0.838666
"2017-10-01","hhs5",2016-06-11,"ili perc","2016-24",0.702271
"2017-10-01","hhs5",2016-06-18,"ili perc","2016-25",0.57142
"2017-10-01","hhs5",2016-06-25,"ili perc","2016-26",0.561355
"2017-10-01","hhs5",2016-07-02,"ili perc","2016-27",0.528919
"2017-10-01","hhs5",2016-07-09,"ili perc","2016-28",0.530323
"2017-10-01","hhs5",2016-07-16,"ili perc","2016-29",0.524615
"2017-10-01","hhs5",2016-07-23,"ili perc","2016-30",0.571754
"2017-10-01","hhs5",2016-07-30,"ili perc","2016-31",0.559739
"2017-10-01","hhs5",2016-08-06,"ili perc","2016-32",0.499993
"2017-10-01","hhs5",2016-08-13,"ili perc","2016-33",0.534359
"2017-10-01","hhs5",2016-08-20,"ili perc","2016-34",0.69594
"2017-10-01","hhs5",2016-08-27,"ili perc","2016-35",0.638424
"2017-10-01","hhs5",2016-09-03,"ili perc","2016-36",0.695816
"2017-10-01","hhs5",2016-09-10,"ili perc","2016-37",0.794893
"2017-10-01","hhs5",2016-09-17,"ili perc","2016-38",0.854437
"2017-10-01","hhs5",2016-09-24,"ili perc","2016-39",0.983237
"2018-09-23","hhs5",2016-10-01,"ili perc","2016-40",1.00259
"2018-09-23","hhs5",2016-10-08,"ili perc","2016-41",0.977935
"2018-09-23","hhs5",2016-10-15,"ili perc","2016-42",1.0411
"2018-09-23","hhs5",2016-10-22,"ili perc","2016-43",1.10603
"2018-09-23","hhs5",2016-10-29,"ili perc","2016-44",1.26644
"2018-09-23","hhs5",2016-11-05,"ili perc","2016-45",1.2373
"2018-09-23","hhs5",2016-11-12,"ili perc","2016-46",1.21417
"2018-09-23","hhs5",2016-11-19,"ili perc","2016-47",1.26992
"2018-09-23","hhs5",2016-11-26,"ili perc","2016-48",1.24656
"2018-09-23","hhs5",2016-12-03,"ili perc","2016-49",1.48693
"2018-09-23","hhs5",2016-12-10,"ili perc","2016-50",1.55394
"2018-09-23","hhs5",2016-12-17,"ili perc","2016-51",1.84416
"2018-09-23","hhs5",2016-12-24,"ili perc","2016-52",2.36953
"2018-09-23","hhs5",2016-12-31,"ili perc","2017-01",2.10416
"2018-09-23","hhs5",2017-01-07,"ili perc","2017-02",2.11757
"2018-09-23","hhs5",2017-01-14,"ili perc","2017-03",2.4432
"2018-09-23","hhs5",2017-01-21,"ili perc","2017-04",2.76295
"2018-09-23","hhs5",2017-01-28,"ili perc","2017-05",3.182
"2018-09-23","hhs5",2017-02-04,"ili perc","2017-06",3.9176
"2018-09-23","hhs5",2017-02-11,"ili perc","2017-07",4.31787
"2018-09-23","hhs5",2017-02-18,"ili perc","2017-08",4.26139
"2018-09-23","hhs5",2017-02-25,"ili perc","2017-09",3.04485
"2018-09-23","hhs5",2017-03-04,"ili perc","2017-10",3.31743
"2018-09-23","hhs5",2017-03-11,"ili perc","2017-11",2.99882
"2018-09-23","hhs5",2017-03-18,"ili perc","2017-12",2.81307
"2018-09-23","hhs5",2017-03-25,"ili perc","2017-13",2.38582
"2018-09-23","hhs5",2017-04-01,"ili perc","2017-14",2.08707
"2018-09-23","hhs5",2017-04-08,"ili perc","2017-15",1.59399
"2018-09-23","hhs5",2017-04-15,"ili perc","2017-16",1.43122
"2018-09-23","hhs5",2017-04-22,"ili perc","2017-17",1.28566
"2018-09-23","hhs5",2017-04-29,"ili perc","2017-18",1.13294
"2018-09-23","hhs5",2017-05-06,"ili perc","2017-19",1.12252
"2018-09-23","hhs5",2017-05-13,"ili perc","2017-20",0.93765
"2018-09-23","hhs5",2017-05-20,"ili perc","2017-21",0.823691
"2018-09-23","hhs5",2017-05-27,"ili perc","2017-22",0.785368
"2018-09-23","hhs5",2017-06-03,"ili perc","2017-23",0.717118
"2018-09-23","hhs5",2017-06-10,"ili perc","2017-24",0.639736
"2018-09-23","hhs5",2017-06-17,"ili perc","2017-25",0.659815
"2018-09-23","hhs5",2017-06-24,"ili perc","2017-26",0.572332
"2018-09-23","hhs5",2017-07-01,"ili perc","2017-27",0.486301
"2018-09-23","hhs5",2017-07-08,"ili perc","2017-28",0.559928
"2018-09-23","hhs5",2017-07-15,"ili perc","2017-29",0.553207
"2018-09-23","hhs5",2017-07-22,"ili perc","2017-30",0.559602
"2018-09-23","hhs5",2017-07-29,"ili perc","2017-31",0.602327
"2018-09-23","hhs5",2017-08-05,"ili perc","2017-32",0.612967
"2018-09-23","hhs5",2017-08-12,"ili perc","2017-33",0.637141
"2018-09-23","hhs5",2017-08-19,"ili perc","2017-34",0.627954
"2018-09-23","hhs5",2017-08-26,"ili perc","2017-35",0.724628
"2018-09-23","hhs5",2017-09-02,"ili perc","2017-36",0.859425
"2018-09-23","hhs5",2017-09-09,"ili perc","2017-37",1.04165
"2018-09-23","hhs5",2017-09-16,"ili perc","2017-38",1.11121
"2018-09-23","hhs5",2017-09-23,"ili perc","2017-39",1.29017
"2019-09-22","hhs5",2017-09-30,"ili perc","2017-40",1.13883
"2019-09-22","hhs5",2017-10-07,"ili perc","2017-41",1.16684
"2019-09-22","hhs5",2017-10-14,"ili perc","2017-42",1.14011
"2019-09-22","hhs5",2017-10-21,"ili perc","2017-43",1.23078
"2019-09-22","hhs5",2017-10-28,"ili perc","2017-44",1.22608
"2019-09-22","hhs5",2017-11-04,"ili perc","2017-45",1.32897
"2019-09-22","hhs5",2017-11-11,"ili perc","2017-46",1.21085
"2019-09-22","hhs5",2017-11-18,"ili perc","2017-47",1.54292
"2019-09-22","hhs5",2017-11-25,"ili perc","2017-48",1.59701
"2019-09-22","hhs5",2017-12-02,"ili perc","2017-49",1.92288
"2019-09-22","hhs5",2017-12-09,"ili perc","2017-50",2.18404
"2019-09-22","hhs5",2017-12-16,"ili perc","2017-51",3.19187
"2019-09-22","hhs5",2017-12-23,"ili perc","2017-52",4.75027
"2019-09-22","hhs5",2017-12-30,"ili perc","2017-01",4.41441
"2019-09-22","hhs5",2018-01-06,"ili perc","2018-02",4.71296
"2019-09-22","hhs5",2018-01-13,"ili perc","2018-03",5.06626
"2019-09-22","hhs5",2018-01-20,"ili perc","2018-04",5.29509
"2019-09-22","hhs5",2018-01-27,"ili perc","2018-05",5.65908
